pathogen_name,taxonid,ARG_name,aro_id,frequency,antibiotic_name
Staphylococcus aureus,1280,Tetracycline-resistant ribosomal protection protein,2,0.12148,Tetracycline antibiotic
Staphylococcus aureus,1280,VanH,3000006,0.00053,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanA,3000010,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanX,3000011,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,TEM beta-lactamase,3000014,0.000557,Ampicillin
Staphylococcus aureus,1280,OXA beta-lactamase,3000017,4.1e-05,"Cefalotin,ClOxacillin,Oxacillin"
Staphylococcus aureus,1280,MepA,3000026,0.998763,Tigecycline
Staphylococcus aureus,1280,KPC beta-lactamase,3000059,1.4e-05,"CarbaPenem,Cephalosporin,Monobactam,Penam"
Staphylococcus aureus,1280,VanS,3000071,0.00053,glycoPeptide antibiotic
Staphylococcus aureus,1280,EmrB,3000074,0.999905,Fluoroquinolone antibiotic
Staphylococcus aureus,1280,VanY,3000077,0.000557,glycoPeptide antibiotic
Staphylococcus aureus,1280,Bla1,3000090,0.62852,Penam
Staphylococcus aureus,1280,VanZ,3000116,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,VgaB,3000118,4.1e-05,"Dalfopristin,Virginiamycin M1"
Staphylococcus aureus,1280,Chloramphenicol acetyltransferase (CAT),3000122,0.019583,Phenicol antibiotic
Staphylococcus aureus,1280,MecI,3000124,0.146105,"CarbaPenem,Cephalosporin,Cephamycin,Monobactam,Penam"
Staphylococcus aureus,1280,APH(3'),3000126,0.294996,Aminoglycoside antibiotic
Staphylococcus aureus,1280,APH(6),3000151,2.7e-05,Aminoglycoside antibiotic
Staphylococcus aureus,1280,Tet(A),3000165,1.4e-05,Tetracycline
Staphylococcus aureus,1280,Tet(C),3000167,0.000136,Tetracycline
Staphylococcus aureus,1280,Tet(K),3000178,0.119578,Tetracycline
Staphylococcus aureus,1280,Tet(L),3000179,0.000313,Tetracycline
Staphylococcus aureus,1280,Tet(M),3000186,0.12235,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(O),3000190,0.122228,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(S),3000192,0.122228,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(T),3000193,0.001128,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
